Burial,latitude,longitude,Quadrangle,Structure,Group,Age,Sex,Time Period,Grave Type,Location,Head Orientation,Body Position,Associated Material 1,Associated Material 2
45,222133.36300000000,1906431.21190000000,Camp,Str. 4F-26,4F-6,Adult,Male,Late Classic (Imix-related),Formal-roofed,Other,South,B3,C1f,
49,222510.53430000000,1907072.25150000000,Encanto,Str. 2G-59,2G-1,Adult,Male,Late Classic (Imix-related),Formal-roofed,Structure-other,North,B2,C1b,
50,222510.48470000000,1907071.15650000000,Encanto,Str. 2G-59,2G-1,Adult,Male,Late Classic (Imix-related),Informal,Structure-other,North,A1,C1c,
52,222510.40540000000,1907069.96740000000,Encanto,Str. 2G-59,2G-1,Adult,Male,Late Classic (Imix-related),Informal,Structure-other,North,D1,C1e,
53,222510.40540000000,1907068.93690000000,Encanto,Str. 2G-59,2G-1,Adult,Unknown,Late Classic (Imix-related),Informal,Structure-other,North,B?,A1c,
54,222510.40540000000,1907068.14420000000,Encanto,Str. 2G-59,2G-1,Adult,Unknown,Intermediate Classic (Ik-related),Formal-walled-roofed,Structure-off axis,North,C2,C1d,
55,222510.56400000000,1907067.35140000000,Encanto,Str. 2G-59,2G-1,Child,Unknown,Late Classic (Imix-related),Formal-walled-roofed,Structure-other,North,B3,None,
56,222510.08840000000,1907066.63800000000,Encanto,Str. 2G-59,2G-1,Adult,Male,Late Classic (Imix-related),Informal,Structure-other,East,B3,C4b,
57,222510.88110000000,1907066.40020000000,Encanto,Str. 2G-59,2G-1,Adult,Male,Intermediate Classic (Ik-related),Informal,Structure-off axis,North,B?,A1d,E8a
58,222510.32620000000,1907065.92450000000,Encanto,Str. 2G-59,2G-1,Adult,Unknown,Intermediate Classic (Ik-related),Informal,Structure-off axis,North,No Information,F1a,
59,222510.32620000000,1907065.05250000000,Encanto,Str. 2G-59,2G-1,Adult,Male,Late Classic (Imix-related),Informal,Other,West,B1,None,
60,222510.64330000000,1907073.21760000000,Encanto,Str. 2G-59,2G-1,Adult,Male,Late Classic (Imix-related),No Information,Structure-other,North,B?,A1d,
61,221982.46240000000,1906504.90190000000,Camp,Plat. 4F-6,4F-3,Child,Unknown,Late Classic (Imix-related),Informal,Other,North,B?,None,
62,222354.95130000000,1907118.37690000000,Encanto,Str. 2G-2,NA,Adult,Male,Preclassic,Chultun,Structure-off axis,North,Two-stage,A3a,
63,222617.66180000000,1907302.63360000000,Encanto,Str. 2G-10,2G-2,Adult,Female,Intermediate Classic (Ik-related),Chultun,Structure-off axis,North,A2,None,
64,222355.28220000000,1907116.17060000000,Encanto,Str. 2G-61,NA,Adult,Unknown,Early Classic (Manik-related),Informal,Structure-off axis,South,D2,None,
65,221998.14360000000,1906817.80010000000,Encanto,Str. 3F-24,3F-1,Adult,Unknown,Intermediate Classic (Ik-related),Formal-walled-roofed,Structure-off axis,East,D1,None,
66,222000.28390000000,1906817.95870000000,Encanto,Str. 3F-24,3F-1,Adult,Male,Late Classic (Imix-related),Formal-walled-roofed,Structure-axis,North,D1,B2a,
